lat,lon,name
55.6947,37.4663,wz_6273
55.6973,37.4684,wz_6273
55.6987,37.4702,wz_6273
55.7009,37.4739,wz_6273
55.7028,37.4772,wz_6273
55.7049,37.4821,wz_6273
55.7074,37.4881,wz_6273
55.711,37.4915,wz_6273
55.7148,37.4933,wz_6273
55.7181,37.4933,wz_6273
55.7201,37.4947,wz_6273
55.7202,37.4934,wz_6273
55.72,37.4925,wz_6273
55.7195,37.4924,wz_6273
55.7192,37.4928,wz_6273
55.7189,37.493,wz_6273
55.7181,37.4924,wz_6273
55.7184,37.4907,wz_6273
55.7183,37.4895,wz_6273
55.7184,37.4884,wz_6273
55.7191,37.4867,wz_6273
55.7201,37.4859,wz_6273
55.7209,37.484,wz_6273
55.7211,37.4831,wz_6273
55.721,37.4808,wz_6273
55.7211,37.4786,wz_6273
55.7215,37.4767,wz_6273
55.7196,37.4729,wz_6273
55.7185,37.4723,wz_6273
55.7194,37.4702,wz_6273
55.719,37.469,wz_6273
55.7181,37.4694,wz_6273
55.7172,37.4721,wz_6273
55.716,37.4713,wz_6273
55.7159,37.4705,wz_6273
55.7155,37.4715,wz_6273
55.715,37.4713,wz_6273
55.7148,37.4706,wz_6273
55.7137,37.4713,wz_6273
55.7136,37.4681,wz_6273
55.7147,37.4685,wz_6273
55.7156,37.4669,wz_6273
55.7136,37.4636,wz_6273
55.7125,37.468,wz_6273
55.7113,37.4668,wz_6273
55.7116,37.4655,wz_6273
55.711,37.4656,wz_6273
55.7103,37.4641,wz_6273
55.7112,37.462,wz_6273
55.711,37.4606,wz_6273
55.7104,37.4596,wz_6273
55.7099,37.4547,wz_6273
55.7091,37.4549,wz_6273
55.7096,37.4472,wz_6273
55.7069,37.4478,wz_6273
55.7061,37.4449,wz_6273
55.7053,37.4388,wz_6273
55.7043,37.4329,wz_6273
55.7042,37.4313,wz_6273
55.7064,37.4283,wz_6273
55.7071,37.4254,wz_6273
55.7089,37.4241,wz_6273
55.7094,37.4224,wz_6273
55.7094,37.4218,wz_6273
55.7098,37.422,wz_6273
55.7054,37.4208,wz_6273
55.7046,37.4207,wz_6273
55.7047,37.4197,wz_6273
55.7044,37.418,wz_6273
55.7069,37.412,wz_6273
55.7027,37.4045,wz_6273
55.7005,37.4059,wz_6273
55.6991,37.4028,wz_6273
55.6973,37.4053,wz_6273
55.6945,37.4091,wz_6273
55.693,37.4109,wz_6273
55.6907,37.413,wz_6273
55.6885,37.4145,wz_6273
55.686,37.4154,wz_6273
55.6823,37.4151,wz_6273
55.6806,37.4185,wz_6273
55.6768,37.4213,wz_6273
55.6733,37.424,wz_6273
55.6712,37.4255,wz_6273
55.6675,37.4266,wz_6273
55.6643,37.4307,wz_6273
55.6621,37.4327,wz_6273
55.6631,37.4378,wz_6273
55.6654,37.4408,wz_6273
55.6678,37.4436,wz_6273
55.6694,37.4463,wz_6273
55.6708,37.4509,wz_6273
55.6719,37.4544,wz_6273
55.6732,37.4575,wz_6273
55.675,37.4607,wz_6273
55.6773,37.4641,wz_6273
55.6788,37.4662,wz_6273
55.6819,37.4706,wz_6273
55.6839,37.4739,wz_6273
55.686,37.4775,wz_6273
55.6871,37.4761,wz_6273
55.6878,37.4752,wz_6273
55.6889,37.4737,wz_6273
55.6897,37.4728,wz_6273
55.6908,37.4712,wz_6273
55.6917,37.47,wz_6273
55.6929,37.4685,wz_6273
55.6938,37.4674,wz_6273
55.6946,37.4663,wz_6273
55.6947,37.4663,wz_6273
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.7229,37.4989,wz_6272
55.7243,37.5023,wz_6272
55.7256,37.5064,wz_6272
55.7317,37.5197,wz_6272
55.7353,37.5359,wz_6272
55.7356,37.5396,wz_6272
55.7348,37.542,wz_6272
55.7336,37.5432,wz_6272
55.7318,37.5437,wz_6272
55.728,37.5472,wz_6272
55.7349,37.5632,wz_6272
55.7401,37.5697,wz_6272
55.7454,37.5741,wz_6272
55.7498,37.5742,wz_6272
55.7518,37.5726,wz_6272
55.7536,37.5673,wz_6272
55.753,37.5595,wz_6272
55.7511,37.5537,wz_6272
55.7492,37.5495,wz_6272
55.747,37.5444,wz_6272
55.7453,37.5389,wz_6272
55.7446,37.5336,wz_6272
55.7447,37.5295,wz_6272
55.7456,37.5251,wz_6272
55.7472,37.5223,wz_6272
55.7466,37.5201,wz_6272
55.7457,37.5173,wz_6272
55.7448,37.5154,wz_6272
55.7438,37.5137,wz_6272
55.7428,37.5127,wz_6272
55.7419,37.5118,wz_6272
55.7403,37.5103,wz_6272
55.7383,37.5084,wz_6272
55.7371,37.5061,wz_6272
55.7362,37.5037,wz_6272
55.7353,37.5007,wz_6272
55.7344,37.4977,wz_6272
55.7337,37.4935,wz_6272
55.7331,37.4894,wz_6272
55.7315,37.4907,wz_6272
55.7299,37.4922,wz_6272
55.728,37.4939,wz_6272
55.7256,37.4961,wz_6272
55.7241,37.4974,wz_6272
55.7228,37.4987,wz_6272
55.7228,37.4987,wz_6272
55.6991,37.4027,wz_6452
55.7005,37.4059,wz_6452
55.7028,37.4044,wz_6452
55.7069,37.412,wz_6452
55.7044,37.418,wz_6452
55.7047,37.4197,wz_6452
55.7046,37.4207,wz_6452
55.7053,37.4208,wz_6452
55.7094,37.4217,wz_6452
55.7094,37.4226,wz_6452
55.7089,37.4241,wz_6452
55.7071,37.4255,wz_6452
55.7064,37.4283,wz_6452
55.7043,37.4313,wz_6452
55.7045,37.4339,wz_6452
55.7053,37.4386,wz_6452
55.7062,37.4448,wz_6452
55.707,37.4478,wz_6452
55.7096,37.447,wz_6452
55.7092,37.4548,wz_6452
55.7267,37.4477,wz_6452
55.7269,37.4135,wz_6452
55.7298,37.3904,wz_6452
55.7287,37.3823,wz_6452
55.7288,37.3782,wz_6452
55.7189,37.3831,wz_6452
55.713,37.3812,wz_6452
55.711,37.3876,wz_6452
55.709,37.3895,wz_6452
55.6991,37.4027,wz_6452
55.7467,37.6123,wz_6472
55.7445,37.6094,wz_6472
55.7382,37.6068,wz_6472
55.7346,37.6,wz_6472
55.7272,37.5938,wz_6472
55.7198,37.5861,wz_6472
55.714,37.5771,wz_6472
55.7119,37.5706,wz_6472
55.7102,37.559,wz_6472
55.7111,37.5525,wz_6472
55.7136,37.5461,wz_6472
55.7163,37.5427,wz_6472
55.7233,37.5415,wz_6472
55.728,37.5471,wz_6472
55.7349,37.5632,wz_6472
55.7402,37.5698,wz_6472
55.7454,37.5742,wz_6472
55.7455,37.5767,wz_6472
55.7459,37.5796,wz_6472
55.7454,37.5831,wz_6472
